Number of clusters,Covariance,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
80,40,10.0,6.157457648909236,6.32372003824423,5.21748692479293
80,40,100.0,7.391096113819202,7.5055870511321805,6.3086086852299035
80,45,0.0,3.692794620047616,5.050539596001414,4.402985323908409
80,45,0.01,4.0605707199758285,4.613570383529815,3.908306084621586
80,45,0.1,3.7782948985646105,4.822179909987293,4.141807019164035
80,45,1.0,4.771638637459816,5.274368084199169,3.9496280071371497
80,45,10.0,6.031357300420428,6.213905648073929,4.999074455955009
80,45,100.0,7.200763718712042,7.281940698387018,6.107747431494627
90,30,0.0,3.9416932353332745,6.145659039177598,4.813934425546139
90,30,0.01,4.373160847968607,6.136133135753415,5.005695477556223
90,30,0.1,4.360283536645944,5.6802601101781,4.620163955305103
90,30,1.0,5.147667099178514,5.780473210460428,4.841309520968888
90,30,10.0,6.55092003196822,6.751443515551555,5.688542067148235
90,30,100.0,7.446557801169093,7.54653566542528,6.407527266461632
90,35,0.0,4.019003772115747,5.367288399617191,4.204062285756821
90,35,0.01,4.069971663890456,5.0409867533925325,4.857583509637306
90,35,0.1,4.176590356600848,5.192023745466565,4.935159779210675
90,35,1.0,4.886308491101939,5.532465102102077,4.488769546253119
90,35,10.0,6.25846880027418,6.4376677961703255,5.486504045043106
90,35,100.0,7.350402459944735,7.502485410410453,6.294980206795358
90,40,0.0,4.118345118989797,5.410622898036217,4.360572452398478
90,40,0.01,4.1679878271519595,4.936255026806877,4.3695178317712715
90,40,0.1,4.177864620116267,4.850450707521548,3.7699242519260263
90,40,1.0,4.582108511612912,5.356710830990536,4.291075375508288
90,40,10.0,6.2210744236892745,6.364059982348563,5.33580862317684
90,40,100.0,7.261665580812291,7.41074870238401,6.284277735995197
90,45,0.0,3.629355819194329,5.263194973017862,4.29998702799052
90,45,0.01,4.004077807667162,4.92861226054625,4.1276927604620655
90,45,0.1,4.158189416404883,5.007326211589598,3.903636544573536
90,45,1.0,4.608478066807718,5.221119836225978,4.268254969277329
90,45,10.0,6.003915107168774,6.120662545849069,5.0766557776415615
90,45,100.0,7.178241188228311,7.285038779159732,6.138106833091315
100,30,0.0,4.029231638430427,5.997529968360094,4.539479037902211
100,30,0.01,3.9696279716741287,6.088809483272421,4.668524222615455
100,30,0.1,3.9320884907016773,5.076705396760715,4.912627959209275
100,30,1.0,5.01663965084269,5.691445173177412,5.089148925325759
100,30,10.0,6.437873166216002,6.666132315178099,5.632273856011077
100,30,100.0,7.450833076970963,7.567681176798919,6.381357253627929
100,35,0.0,4.074094311368716,5.849137311919591,4.217431059213393
100,35,0.01,3.972318699621521,5.689572426930205,4.741083802332458
100,35,0.1,3.8484840159214904,5.069221118998763,4.580009139241021
100,35,1.0,4.778129115068029,5.361124722675977,4.572746251553733
100,35,10.0,6.2621788976436115,6.385830457835017,5.540690521063746
100,35,100.0,7.301440898185032,7.365318556980259,6.238573307206411
100,40,0.0,3.6726342336278734,4.945735550007853,4.373845856910779
100,40,0.01,3.6295719347737485,4.903070855899756,4.018897494186492
100,40,0.1,3.6120770833630105,4.958222952811937,3.7370303327733794
100,40,1.0,4.7080080268948725,5.573615537499294,4.623018817644543
100,40,10.0,6.065516690260905,6.2662082105019925,5.000797700509855
100,40,100.0,7.2686071234469365,7.387389010135598,6.231371786161572
100,45,0.0,3.2421434079693348,4.6183128031285685,3.6201549669790434
100,45,0.01,3.776038309544151,4.761222373261077,4.05799410200792
100,45,0.1,3.7013991224225813,4.771685101966588,4.152950355761998
100,45,1.0,4.448080466416125,5.083098627240917,3.8403174143907775
100,45,10.0,5.934193008653438,6.145460099303588,4.888245572652803
100,45,100.0,7.111778003990056,7.219856161783949,6.08590714300616
120,30,0.0,3.727691543349752,5.175593758465418,4.669175688622081
120,30,0.01,3.8087372433923643,5.393892222958598,4.507664270699361
120,30,0.1,3.8724854210612754,5.11060794205449,4.680302607820248
120,30,1.0,4.811719551944947,5.649881637222621,4.968793240999394
120,30,10.0,6.351809372552249,6.61774401198848,5.604944929002347
120,30,100.0,7.376177579574429,7.452489475330534,6.309662652175248
120,35,0.0,3.5764852032963987,4.732601533809103,3.537588473760467
120,35,0.01,3.3409625641933967,4.953566440180611,3.9489227323786062
120,35,0.1,3.6454258928896097,5.076565983000054,4.426736586630495
120,35,1.0,4.639299671799446,5.514309274944808,4.709622757536948
120,35,10.0,6.195910521707416,6.39043946511661,5.394814955892722
120,35,100.0,7.2501482716964265,7.3510472930660535,6.225246059774719
120,40,0.0,3.2490397547938668,4.726295135423566,3.7617814122586286
120,40,0.01,3.4898743370779,5.117456130451175,4.402997205250937
120,40,0.1,3.6211705196945982,4.808667317993587,3.6659317095050556
120,40,1.0,4.336361822884215,5.083808603004664,4.0802222969601605
120,40,10.0,5.938804429582093,6.160453301747917,4.978753402157641
120,40,100.0,7.149887139158469,7.2630290387625385,6.100038756352196
120,45,0.0,3.5533218334312737,4.587582945774595,3.995853944777649
120,45,0.01,3.2434484460445705,4.706850477609207,3.8180208630953083
120,45,0.1,3.3420282336957747,4.578704097255648,3.974366791727331
120,45,1.0,4.505988529293509,4.937467094524669,4.039455280773298
120,45,10.0,5.850528251948824,6.0274105272746885,4.735807571847463
120,45,100.0,6.980479741390585,7.0174826885991415,6.001870574496827
