Number of clusters,Covariance,Regularization Parameter,Training RMS Error,Validation RMS Error,Testing RMS Error
10,5,100.0,61.76764169335547,49.00786165252741,56.615640933944555
10,10,0.0,6.3365624873677415,9.219869678234662,6.987743002531029
10,10,0.01,27.818664057841715,29.621018167823056,31.339422231516508
10,10,0.1,27.97984404876738,29.462161298797902,31.36539539906007
10,10,1.0,29.41851259201042,27.811333080334986,31.142768388408633
10,10,10.0,44.327611043893256,35.47665649904332,42.032021924516535
10,10,100.0,66.0150379252645,52.74345128698585,60.725918718437214
10,15,0.0,2.695276417294496,2.535367073564521,2.8943216983103284
10,15,0.01,26.50251866182536,27.86894410116072,29.431102276006012
10,15,0.1,26.67173391474806,27.44914009833919,29.47611295681877
10,15,1.0,33.66419816181545,27.966713839265207,33.317651421004385
10,15,10.0,59.10791303976303,46.866898776085876,54.368095898587114
10,15,100.0,67.95357673141673,54.49355758075951,62.03826503575155
10,20,0.0,2.0327019785696776,3.0022657661605443,3.0188886828284103
10,20,0.01,26.08729452310562,27.199462700076968,28.95630605007823
10,20,0.1,26.777832201141205,26.23096240891968,28.822344535068666
10,20,1.0,44.1971052976868,34.75317225435997,41.573780295782086
10,20,10.0,64.87774736342331,51.79069785844762,59.34000893253703
10,20,100.0,68.78091888014826,55.19546879499151,62.79604245986129
15,5,0.0,8.017708552795286,10.01372782409919,11.228022106652295
15,5,0.01,13.32149714053617,17.555164585182776,18.774831839565984
15,5,0.1,25.072804482325854,28.79990147889008,31.603457038083835
15,5,1.0,33.408762859473455,34.677994711428596,38.302216168465854
15,5,10.0,39.457712441981975,32.72374008266981,39.27925599447408
15,5,100.0,58.91455965690089,46.50617541809762,54.46582676656976
15,10,0.0,1.7033127971969546,3.3224540899338653,3.242090651186343
15,10,0.01,27.716684598498027,29.555169903334534,31.31712356430442
15,10,0.1,27.973383487868443,29.47954429065356,31.44219977913312
15,10,1.0,28.741182813329562,28.309754657214764,31.027952572500094
15,10,10.0,41.319339754504455,33.016057468058925,39.386973751132395
15,10,100.0,63.66619686050663,50.743224911162585,58.41065092834669
15,15,0.0,1.6660812861349497,2.6512797795879623,2.8337340575004224
